"日期","收市","開市","高","低","成交量","更改%"
"2013年9月23日","105.50","103.00","106.00","102.50","57.28K","2.43%"
"2013年9月18日","103.00","105.00","105.50","103.00","34.99K","-2.37%"
"2013年9月17日","105.50","105.50","105.50","104.50","25.47K","0.00%"
"2013年9月16日","105.50","104.00","105.50","104.00","40.69K","2.93%"
"2013年9月14日","102.50","102.50","103.50","102.00","5.22K","0.00%"
"2013年9月13日","102.50","102.50","103.00","102.00","23.64K","-0.97%"
"2013年9月12日","103.50","103.00","104.50","103.00","32.87K","-0.96%"
"2013年9月11日","104.50","103.00","104.50","102.50","41.35K","0.00%"
"2013年9月10日","104.50","103.00","104.50","102.50","37.39K","1.46%"
"2013年9月9日","103.00","102.50","103.00","101.00","33.08K","0.98%"
"2013年9月6日","102.00","102.00","102.00","101.00","25.34K","0.49%"
"2013年9月5日","101.50","100.50","101.50","100.00","35.89K","1.00%"
"2013年9月4日","100.50","100.50","101.50","100.00","25.23K","-1.47%"
"2013年9月3日","102.00","103.00","103.00","101.50","33.84K","0.00%"
"2013年9月2日","102.00","100.00","102.00","99.60","30.86K","1.49%"
"2013年8月30日","100.50","99.60","100.50","98.80","38.97K","1.82%"
"2013年8月29日","98.70","96.90","98.90","96.90","52.40K","1.96%"
"2013年8月28日","96.80","95.60","97.30","95.10","35.98K","1.26%"
"2013年8月27日","95.60","96.00","96.80","95.60","24.47K","-1.24%"
"2013年8月26日","96.80","97.60","97.60","96.10","18.70K","-0.21%"
"2013年8月23日","97.00","95.70","97.30","95.50","44.45K","2.65%"
"2013年8月22日","94.50","93.00","94.90","92.90","60.31K","0.11%"
"2013年8月20日","94.40","95.20","95.40","94.40","42.47K","-1.15%"
"2013年8月19日","95.50","95.50","96.10","95.30","52.06K","-1.04%"
"2013年8月16日","96.50","95.40","97.50","95.20","37.70K","0.52%"
"2013年8月15日","96.00","96.40","96.40","95.30","42.69K","-0.83%"
"2013年8月14日","96.80","96.00","97.30","95.80","44.02K","-0.41%"
"2013年8月13日","97.20","96.00","97.40","96.00","34.39K","1.25%"
"2013年8月12日","96.00","96.40","96.70","95.60","33.45K","-0.41%"
"2013年8月9日","96.40","100.00","100.00","96.40","47.19K","0.00%"
